41.9392200746,49.5681188119,41.6686727528
41.0053236414,48.3391011236,40.7722142857
39.6673229939,50.094,39.3782952183
38.4448367848,40.396056338,38.3949676026
44.275320042,52.8818666667,44.0434626437
45.3237651007,54.9756962025,45.0609238194
38.4190959282,47.7329268293,38.1478835227
39.9316964286,46.85875,39.695546875
39.6972055749,44.0592941176,39.5640718133
40.3116465054,42.193877551,40.2475538568
41.3257162162,50.5024175824,41.0346462182
39.2064743807,42.93,39.0891774589
38.6847218359,51.9565333333,38.3293538022
38.9096085165,45.3734782609,38.6987304965
43.2203318659,55.3305747126,42.8527145848
38.3320851064,51.5227083333,37.8672173275
37.8646070092,44.4964356436,37.6285905567
40.935621547,46.4257142857,40.7290791831
42.7780479333,53.1243478261,42.4365123789
40.4788664812,45.775625,40.2959568345
